Data,Nome,WeekDay
4/21/2003,TIRADENTES,segunda-feira
5/1/2003,DIA DO TRABALHO,quinta-feira
6/19/2003,CORPUS CHRISTI,quinta-feira
9/7/2003,INDEPENDENCIA,domingo
10/12/2003,N.S.APARECIDA,domingo
11/2/2003,FINADOS,domingo
11/15/2003,PROCLAMACAO DA REP.,sábado
12/25/2003,NATAL,quinta-feira
1/1/2004,CONFRATERNIZACAO,quinta-feira
2/23/2004,SEGUNDA-FEIRA CARNAV,segunda-feira
2/24/2004,TERCA-FEIRA CARNAVAL,terça-feira
4/9/2004,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2004,TIRADENTES,quarta-feira
5/1/2004,DIA DO TRABALHO,sábado
6/10/2004,CORPUS CHRISTI,quinta-feira
9/7/2004,INDEPENDENCIA,terça-feira
10/12/2004,N.S.APARECIDA,terça-feira
11/2/2004,FINADOS,terça-feira
11/15/2004,PROCLAMACAO DA REP.,segunda-feira
12/25/2004,NATAL,sábado
1/1/2005,CONFRATERNIZACAO,sábado
2/7/2005,SEGUNDA-FEIRA CARNAV,segunda-feira
2/8/2005,TERCA-FEIRA CARNAVAL,terça-feira
3/25/2005,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2005,TIRADENTES,quinta-feira
5/1/2005,DIA DO TRABALHO,domingo
5/26/2005,CORPUS CHRISTI,quinta-feira
9/7/2005,INDEPENDENCIA,quarta-feira
10/12/2005,N.S.APARECIDA,quarta-feira
11/2/2005,FINADOS,quarta-feira
11/15/2005,PROCLAMACAO DA REP.,terça-feira
12/25/2005,NATAL,domingo
1/1/2006,CONFRATERNIZACAO,domingo
2/27/2006,SEGUNDA-FEIRA CARNAV,segunda-feira
2/28/2006,TERCA-FEIRA CARNAVAL,terça-feira
4/14/2006,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2006,TIRADENTES,sexta-feira
5/1/2006,DIA DO TRABALHO,segunda-feira
6/15/2006,CORPUS CHRISTI,quinta-feira
9/7/2006,INDEPENDENCIA,quinta-feira
10/12/2006,N.S.APARECIDA,quinta-feira
11/2/2006,FINADOS,quinta-feira
11/15/2006,PROCLAMACAO DA REP.,quarta-feira
12/25/2006,NATAL,segunda-feira
1/1/2007,CONFRATERNIZACAO,segunda-feira
2/19/2007,SEGUNDA-FEIRA CARNAV,segunda-feira
2/20/2007,TERCA-FEIRA CARNAVAL,terça-feira
4/6/2007,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2007,TIRADENTES,sábado
5/1/2007,DIA DO TRABALHO,terça-feira
6/7/2007,CORPUS CHRISTI,quinta-feira
9/7/2007,INDEPENDENCIA,sexta-feira
10/12/2007,N.S.APARECIDA,sexta-feira
11/2/2007,FINADOS,sexta-feira
11/15/2007,PROCLAMACAO DA REP.,quinta-feira
12/25/2007,NATAL,terça-feira
1/1/2008,CONFRATERNIZACAO,terça-feira
2/4/2008,SEGUNDA-FEIRA CARNAV,segunda-feira
